station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
41700,Washington/Wabash,2/1/22,4354.8,2733,1996.8,106014
40260,State/Lake,2/1/22,4162.4,3379,2435.3,106505
40380,Clark/Lake,2/1/22,5381,2476.3,2030.3,125646
40900,Howard,3/1/22,2344.1,1704.3,1370,66212
41190,Jarvis,3/1/22,718.7,646.8,501.8,21125
40100,Morse,3/1/22,1955.6,1548,1230.3,56092
41300,Loyola,3/1/22,2454.7,2239.8,1474.3,71314
40760,Granville,3/1/22,1736.7,1595.8,1111.3,50771
40880,Thorndale,3/1/22,1261.1,955.5,707.3,35656
41380,Bryn Mawr,3/1/22,1823.8,1421.5,1063,51886
40340,Berwyn,3/1/22,0,0,0,0
41200,Argyle,3/1/22,1958.1,1929,1453,58565
40770,Lawrence,3/1/22,0,0,0,0
40540,Wilson,3/1/22,3989.4,3285.8,2318,114172
40080,Sheridan,3/1/22,1939.8,1771.3,1221,56584
41420,Addison-North Main,3/1/22,3005,4688,2389,97422
41320,Belmont-North Main,3/1/22,5259.3,5809,3946.8,159986
41220,Fullerton,3/1/22,6076.7,5004,3224,172675
40650,North/Clybourn,3/1/22,2319.4,2213.5,1592.5,68571
40630,Clark/Division,3/1/22,3664.7,3730.3,2524.5,109306
41450,Chicago/State,3/1/22,5525.2,5010.8,3614,161579
40330,Grand/State,3/1/22,4087.2,7297.8,4175,139897
41660,Lake/State,3/1/22,7345.4,7347.5,4637,216882
41090,Monroe/State,3/1/22,2910.4,2057.8,1398.8,80766
40560,Jackson/State,3/1/22,2856.8,1727.8,1392.5,78187
41490,Harrison,3/1/22,1653.2,1621,1101.3,48913
41400,Roosevelt,3/1/22,5158.4,5229.5,3584.3,153899
41000,Cermak-Chinatown,3/1/22,2079.9,2669.3,2080.3,66835
40190,Sox-35th-Dan Ryan,3/1/22,1586.1,894,712.5,42906
41230,47th-Dan Ryan,3/1/22,1220.7,814.5,674,34031
41170,Garfield-Dan Ryan,3/1/22,1345.4,974.8,719.8,37722
40910,63rd-Dan Ryan,3/1/22,1174,820.8,701.3,33089
40990,69th,3/1/22,1919.7,1325.3,1014.3,53510
40240,79th,3/1/22,2677.8,1852.8,1512.8,75052
41430,87th,3/1/22,1554.8,974.5,877,43166
40450,95th/Dan Ryan,3/1/22,3884.7,2321.5,1947,106421
41050,Linden,3/1/22,334.6,197.5,139.3,9042
41250,Central-Evanston,3/1/22,353.3,143.3,135,9238
40400,Noyes,3/1/22,433.5,342.5,190.5,12103
40520,Foster,3/1/22,366.4,436,223.8,11067
40050,Davis,3/1/22,1382.8,1079.3,790,39281
40690,Dempster,3/1/22,347.7,333.5,228.8,10246
40270,Main,3/1/22,464.6,370.3,265,13226
40840,South Boulevard,3/1/22,317.8,204,163.8,8781
40140,Dempster-Skokie,3/1/22,633.5,402.8,262.3,17230
41680,Oakton-Skokie,3/1/22,401.9,174,133.5,10474
40890,O'Hare Airport,3/1/22,5951.7,4999.8,5883.5,180421
40820,Rosemont,3/1/22,2693.4,1988.3,1518.5,75976
40230,Cumberland,3/1/22,1436,918.5,571.8,38989
40750,Harlem-O'Hare,3/1/22,1306.8,731.8,482.8,34915
41280,Jefferson Park,3/1/22,3133,1906.8,1435.5,85428
41330,Montrose-O'Hare,3/1/22,986.6,557,406,26544
40550,Irving Park-O'Hare,3/1/22,1655.3,998.8,776,45171
41240,Addison-O'Hare,3/1/22,1311.7,680,469.3,34765
40060,Belmont-O'Hare,3/1/22,2468,1537,1146.5,67499
41020,Logan Square,3/1/22,2992.4,2199.8,1484.8,83563
40570,California/Milwaukee,3/1/22,2203.1,1732.5,1106,62025
40670,Western/Milwaukee,3/1/22,2278.9,1551.8,1019.3,62699
40590,Damen/Milwaukee,3/1/22,2679,2592.5,1719.8,78867
40320,Division/Milwaukee,3/1/22,2727.3,2169,1373.3,76897
41410,Chicago/Milwaukee,3/1/22,1823,1068.5,773.5,49296
40490,Grand/Milwaukee,3/1/22,1270.8,1080.5,817.5,36820
40370,Washington/Dearborn,3/1/22,5395.8,4180,2977,152732
40790,Monroe/Dearborn,3/1/22,2710.3,1104.8,841.8,70123
40070,Jackson/Dearborn,3/1/22,2600.9,1492.3,1144.3,70366
41340,LaSalle,3/1/22,1461.1,881,689.8,39888
40430,Clinton-Forest Park,3/1/22,1241.1,771,594.5,34007
40350,UIC-Halsted,3/1/22,3189,1386.3,844.8,82271
40470,Racine,3/1/22,1149.9,730.8,397.3,30959
40810,Medical Center,3/1/22,1351.4,573.8,455.5,35199
40220,Western-Forest Park,3/1/22,729.4,464.3,333.5,19968
40250,Kedzie-Homan-Forest Park,3/1/22,794.3,482.8,400.3,21800
40920,Pulaski-Forest Park,3/1/22,967.1,765.5,700,28106
40970,Cicero-Forest Park,3/1/22,562.9,356.8,295.8,15557
40010,Austin-Forest Park,3/1/22,653.7,323.3,269,17403
40180,Oak Park-Forest Park,3/1/22,533.8,250.8,170.8,13964
40980,Harlem-Forest Park,3/1/22,455.9,250,153.5,12100
40390,Forest Park,3/1/22,1131.3,593.3,467.5,30262
41030,Polk,3/1/22,1814.3,541.8,401.8,45504
40830,18th,3/1/22,1032.1,878,664.8,29910
40210,Damen-Cermak,3/1/22,977,638,462.8,26874
40740,Western-Cermak,3/1/22,671.5,433.8,296,18363
40440,California-Cermak,3/1/22,838,488,388,22779
41040,Kedzie-Cermak,3/1/22,576.6,365.5,286,15867
40780,Central Park,3/1/22,598.5,390.5,301,16531
40150,Pulaski-Cermak,3/1/22,596.3,398.5,315.3,16570
40600,Kostner,3/1/22,216.8,128.8,127,6009
40420,Cicero-Cermak,3/1/22,643,488.8,396,18328
40580,54th/Cermak,3/1/22,1266.4,711,549,34168
40020,Harlem-Lake,3/1/22,1544.9,1046,777.3,42826
41350,Oak Park-Lake,3/1/22,538.2,330,227.5,14609
40610,Ridgeland,3/1/22,506.5,270.5,157.8,13363
41260,Austin-Lake,3/1/22,817.7,488.5,373.3,22253
40280,Central-Lake,3/1/22,976,632,518.3,27048
40700,Laramie,3/1/22,521,306.5,238.8,14163
40480,Cicero-Lake,3/1/22,534.1,327.5,275.5,14697
40030,Pulaski-Lake,3/1/22,619.3,434,370.3,17460
41670,Conservatory,3/1/22,530.7,529.8,435.8,16068
41070,Kedzie-Lake,3/1/22,650.7,328,296.8,17465
41360,California-Lake,3/1/22,568.8,277.5,219,15068
40170,Ashland-Lake,3/1/22,1268.1,850.5,747.8,35560
41510,Morgan-Lake,3/1/22,2019.9,2027.8,1482.8,60499
41160,Clinton-Lake,3/1/22,1761,981.3,687,47177
41690,Cermak-McCormick Place,3/1/22,978.8,695.3,552.5,27503
41120,35-Bronzeville-IIT,3/1/22,844.8,618.8,436.3,23650
40300,Indiana,3/1/22,332.8,166,137,8867
41270,43rd,3/1/22,413.7,243,204.5,11304
41080,47th-South Elevated,3/1/22,456.8,306,237,12678
40130,51st,3/1/22,462.8,287.5,265.8,12858
40510,Garfield-South Elevated,3/1/22,522.4,497.3,385.5,15547
41140,King Drive,3/1/22,202.1,42.8,33,4951
40720,East 63rd-Cottage Grove,3/1/22,437.5,82,81.8,10718
40940,Halsted/63rd,3/1/22,233.5,137,110.8,6362
40290,Ashland/63rd,3/1/22,452.7,298.8,248.8,12603
41290,Kimball,3/1/22,2072.1,1401,1078,57574
41180,Kedzie-Brown,3/1/22,997.8,756.3,580.8,28298
40870,Francisco,3/1/22,706.9,440.3,309.3,19256
41010,Rockwell,3/1/22,737.5,454,334,20114
41480,Western-Brown,3/1/22,1741.1,1265.3,906.5,48732
40090,Damen-Brown,3/1/22,1315.1,814.8,515.5,35568
41500,Montrose-Brown,3/1/22,1073,738,528,29742
41460,Irving Park-Brown,3/1/22,1259,821.3,532.3,34372
41440,Addison-Brown,3/1/22,993.1,551.8,388.5,26603
41310,Paulina,3/1/22,1213.7,967.3,582.8,34115
40360,Southport,3/1/22,1413.6,1359,842.5,41318
41210,Wellington,3/1/22,1350.8,949,495.3,36846
40530,Diversey,3/1/22,2415,1869.8,1077.5,67334
40660,Armitage,3/1/22,2198,1596.3,952.3,60748
